WKT,link_id,source,target,direction
"LINESTRING (666786.699899624 6838158.30018659,666789.699961184 6838152.10054991,666793.299655423 6838146.40000876,666797.699794143 6838141.39975878,666803.500268361 6838136.9996552,666810.199818671 6838133.79957809)",troncon_de_route.TRONROUT0000000238977876,100,38,1
"LINESTRING (666839.800195712 6838204.40000183,666831.399905358 6838206.50020459,666822.700046837 6838207.1001368,666813.199717042 6838205.70014055)",troncon_de_route.TRONROUT0000000238977881,6,5,1
"LINESTRING (666110.100211772 6838119.79977946,666109.999707202 6838120.00048222,666104.099974919 6838126.4997539,666095.999674865 6838130.99956587,666082.899981392 6838135.79980481,666076.399659161 6838140.50043972,666067.799658437 6838150.8999958,666054.199981542 6838167.09989915,666019.500000954 6838206.7000368,666002.000348603 6838229.0998107,665968.700221536 6838271.10017368,665956.200213221 6838283.00025785,665951.700128934 6838284.00050006)",troncon_de_route.TRONROUT0000000246102284,71,72,0
"LINESTRING (666205.599628652 6837749.89945948,666212.800068553 6837754.89946743,666220.699732783 6837759.89987162,666224.0 6837761.69954894,666227.50012519 6837762.49970849)",troncon_de_route.TRONROUT0000000246102300,46,67,0
"LINESTRING (667067.900344228 6838188.30003922,667131.0 6838201.90023942,667194.699925379 6838215.49996297,667231.799922998 6838223.09988592,667244.900003518 6838227.39978328,667250.800272915 6838232.69968825,667255.400195382 6838241.8002518,667258.000269015 6838249.80031252,667259.499763762 6838257.29960516,667259.600038139 6838267.00028093,667260.899964201 6838273.6001703,667263.800227396 6838279.69965528,667269.200271672 6838284.09964424,667278.999632136 6838287.09964106,667296.399925398 6838289.70004295,667301.700304239 6838290.39956426)",troncon_de_route.TRONROUT0000000246102318,102,103,0
"LINESTRING (666937.300079979 6837913.09948839,666932.599861396 6837912.80045653,666925.000257404 6837913.00041528,666902.899888431 6837914.50023849,666883.500137504 6837915.39998639,666869.400031666 6837916.79992576,666859.100330792 6837917.29995835,666841.300308567 6837919.00009571,666824.299879824 6837920.60011644,666819.599893047 6837920.60023803)",troncon_de_route.TRONROUT0000000246102322,42,36,0
"LINESTRING (667294.199656192 6838213.49998586,667277.200199962 6838209.90008547,667083.299809474 6838168.60028987,667055.6999275 6838166.10052372,667046.699675972 6838166.10035822,667021.199643143 6838166.9997471)",troncon_de_route.TRONROUT0000000246102324,0,83,1
"LINESTRING (666403.699643815 6837947.99952724,666389.399649024 6837947.79973828,666375.200003071 6837948.90016469,666350.800144306 6837953.79957836,666345.09973156 6837954.20054508,666340.500179868 6837953.60012193,666336.899714863 6837951.59977303,666334.299704423 6837949.20007348,666329.799774763 6837948.50013557,666326.699790582 6837947.29958784,666324.000149265 6837943.59970937,666318.399657098 6837935.29948332,666314.0 6837929.40038349,666310.300062906 6837927.39951561,666305.999891058 6837927.09978497,666299.69996709 6837927.79999653,666294.099947482 6837930.39949432,666288.90023328 6837933.80048105,666279.300272417 6837940.09976595,666269.499690859 6837942.80034833,666251.49986884 6837945.20052447,666235.000293516 6837946.10006571,666225.2999846 6837945.00014172,666219.99997139 6837943.2999017)",troncon_de_route.TRONROUT0000000246102338,104,105,0
"LINESTRING (666911.899739914 6838039.49987104,666887.700041488 6838043.19964247,666867.300285667 6838045.7994635,666841.500186659 6838047.39953153,666839.800285861 6838047.50038516,666823.799797114 6838048.80009463)",troncon_de_route.TRONROUT0000000246102342,29,37,0
"LINESTRING (667296.600199196 6838204.09988311,667299.00026155 6838199.20019724,667302.799774546 6838194.10031187,667309.399948506 6838189.69955332,667314.199692844 6838187.3000836,667318.700035788 6838185.89955027,667325.500225229 6838185.09979508)",troncon_de_route.TRONROUT0000000246102346,1,106,1
"LINESTRING (666418.999912 6838181.60018363,666433.799712901 6838180.79990746,666461.300078179 6838179.79969277)",troncon_de_route.TRONROUT0000000246102352,107,13,1
"LINESTRING (666355.199657622 6838179.69971125,666363.999742025 6838182.79955894,666376.699866799 6838183.80010439,666416.399730089 6838181.69968768,666418.999912 6838181.60018363)",troncon_de_route.TRONROUT0000000246102356,15,107,1
