WKT,link_id,source,target,direction
"LINESTRING (2.54248027 48.63904386,2.54232861 48.63915841)",troncon_de_route.TRONROUT0000000002223380,"1633","1634","0"
"LINESTRING (2.5456782 48.63901292,2.54538977 48.63909277,2.54516644 48.63917828)",troncon_de_route.TRONROUT0000000002223383,"1615","1609","0"
"LINESTRING (2.54525025 48.63827999,2.54536273 48.63814279,2.54552036 48.63796439,2.54574881 48.63775748,2.54592789 48.63760974,2.54605066 48.63753825,2.54616767 48.63750451,2.5463348 48.63748176,2.54646653 48.63747327)",troncon_de_route.TRONROUT0000000002223385,"1637","1560","0"
"LINESTRING (2.5456782 48.63901292,2.5455324 48.6387668,2.54540116 48.63856301,2.54530372 48.63837374,2.54525025 48.63827999)",troncon_de_route.TRONROUT0000000002223386,"1615","1637","0"
"LINESTRING (2.54485109 48.63938845,2.54502737 48.63956273,2.54517973 48.63952284)",troncon_de_route.TRONROUT0000000002223387,"1599","1638","0"
"LINESTRING (2.54162961 48.63916112,2.5416622 48.63915945,2.54170301 48.63914881,2.5417398 48.63913186,2.54195439 48.63895998)",troncon_de_route.TRONROUT0000000002223388,"1639","1630","0"
"LINESTRING (2.54598202 48.63950521,2.545974 48.63949078,2.54589514 48.63935106,2.5457706 48.63915719,2.5456782 48.63901292)",troncon_de_route.TRONROUT0000000002223392,"1641","1615","0"
"LINESTRING (2.54181596 48.63833969,2.54121739 48.63803335)",troncon_de_route.TRONROUT0000000002223396,"1612","1643","0"
"LINESTRING (2.5425558 48.63847746,2.54298264 48.63871117)",troncon_de_route.TRONROUT0000000002223397,"1616","1644","0"
"LINESTRING (2.54232861 48.63915841,2.54223003 48.63910137,2.54205041 48.63899993,2.54195439 48.63895998)",troncon_de_route.TRONROUT0000000002223399,"1634","1630","0"
"LINESTRING (2.54331652 48.63700069,2.54331451 48.63707444,2.54329245 48.63711484,2.54304901 48.63732798,2.54272623 48.63761189,2.54253901 48.63775779,2.54243159 48.63778166)",troncon_de_route.TRONROUT0000000002223404,"1603","1604","0"
"LINESTRING (2.54308043 48.63808189,2.54306199 48.63801706,2.54314428 48.63791843,2.54374023 48.63743678,2.54386449 48.63735,2.54391209 48.63733849,2.54397167 48.63735401)",troncon_de_route.TRONROUT0000000002223406,"1595","1626","0"
"LINESTRING (2.54232861 48.63915841,2.54219997 48.63927935)",troncon_de_route.TRONROUT0000000002223413,"1634","1650","0"
"LINESTRING (2.54063078 48.64270582,2.5405133 48.64263611,2.54029175 48.64251652,2.54000801 48.6423688)",troncon_de_route.TRONROUT0000000003407621,"3212","3213","0"
"LINESTRING (2.53784503 48.64383742,2.5381077 48.64360456,2.53889943 48.6429438,2.53900996 48.64287766,2.53928044 48.64268172,2.53945413 48.64253307,2.53958939 48.64243195,2.53971221 48.64235687)",troncon_de_route.TRONROUT0000000003407627,"3217","3218","0"
"LINESTRING (2.54000801 48.6423688,2.53992958 48.64233522)",troncon_de_route.TRONROUT0000000003409259,"3213","3333","0"
"LINESTRING (2.53990506 48.6421903,2.53994784 48.64211041,2.54025177 48.64181385,2.54045853 48.64160866,2.54072388 48.64137671,2.54088797 48.64123882)",troncon_de_route.TRONROUT0000000003409260,"3334","3335","0"
"LINESTRING (2.53992958 48.64233522,2.539905 48.64235131,2.53986142 48.64236824,2.53980299 48.64237611,2.53975282 48.64236962,2.53971221 48.64235687)",troncon_de_route.TRONROUT0000000003409261,"3333","3218","1"
"LINESTRING (2.53971221 48.64235687,2.53968123 48.64232976,2.53965706 48.64230088,2.53965052 48.64227207,2.53965762 48.64223702)",troncon_de_route.TRONROUT0000000003409262,"3218","3336","1"
"LINESTRING (2.53965762 48.64223702,2.53972049 48.64218779,2.53977898 48.64217362,2.53985363 48.64217391,2.53990506 48.6421903)",troncon_de_route.TRONROUT0000000003409263,"3336","3334","1"
"LINESTRING (2.53990506 48.6421903,2.53993749 48.64220752,2.53996576 48.64223371,2.53997493 48.64227153,2.53995832 48.64230834,2.53992958 48.64233522)",troncon_de_route.TRONROUT0000000003409264,"3334","3333","1"
